# r(dimensionless)denity(g.cm^-3) vel/c		b^r (Gauss)	b^\phi(Gauss)	B(=\sqrt(b_mu b^\mu)G H/r	\beta		Temp (Kelvin)	Omega		v_phi
1000.		9.1551848e-21	0.00061722492	5.9973379e-6	0.000047932595	0.047932348	0.77771881	4.3384285	3.2940911e9	3.2478201e-6	0.0032505727
997.70006	9.1832665e-21	0.00061839909	6.0250028e-6	0.000048062667	0.047951878	0.77744226	4.3551166	3.2993373e9	3.2626711e-6	0.0032579323
995.40542	9.211434e-21	0.00061957568	6.0527953e-6	0.000048193078	0.047971402	0.77716561	4.3718691	3.3045901e9	3.2775901e-6	0.0032653087
993.11605	9.2396874e-21	0.00062075471	6.080716e-6	0.000048323829	0.047990919	0.77688885	4.388686	3.3098495e9	3.2925776e-6	0.0032727021
990.83194	9.2680272e-21	0.00062193616	6.1087654e-6	0.000048454921	0.048010431	0.77661198	4.4055677	3.3151155e9	3.3076338e-6	0.0032801125
988.55309	9.2964536e-21	0.00062312005	6.1369443e-6	0.000048586355	0.048029938	0.77633502	4.4225143	3.3203882e9	3.3227592e-6	0.0032875399
986.27949	9.324967e-21	0.00062430637	6.165253e-6	0.000048718132	0.04804944	0.77605795	4.4395261	3.3256677e9	3.3379539e-6	0.0032949843
984.01111	9.3535677e-21	0.00062549512	6.1936924e-6	0.000048850255	0.048068938	0.77578079	4.4566032	3.3309538e9	3.3532183e-6	0.0033024459
981.74794	9.3822561e-21	0.00062668629	6.2222629e-6	0.000048982724	0.048088432	0.77550353	4.473746	3.3362466e9	3.3685528e-6	0.0033099245
979.48999	9.4110324e-21	0.0006278799	6.2509651e-6	0.000049115541	0.048107922	0.77522618	4.4909546	3.3415462e9	3.3839576e-6	0.0033174204
977.23722	9.4398971e-21	0.00062907593	6.2797998e-6	0.000049248707	0.04812741	0.77494873	4.5082292	3.3468525e9	3.3994331e-6	0.0033249335
974.98964	9.4688505e-21	0.00063027439	6.3087674e-6	0.000049382223	0.048146895	0.77467119	4.52557		3.3521657e9	3.4149796e-6	0.0033324638
972.74722	9.4978929e-21	0.00063147528	6.3378686e-6	0.000049516091	0.048166378	0.77439357	4.5429774	3.3574856e9	3.4305974e-6	0.0033400114
970.50997	9.5270246e-21	0.00063267859	6.367104e-6	0.000049650311	0.048185859	0.77411585	4.5604514	3.3628123e9	3.4462869e-6	0.0033475764
968.27786	9.556246e-21	0.00063388433	6.3964743e-6	0.000049784887	0.048205339	0.77383805	4.5779924	3.3681459e9	3.4620484e-6	0.0033551588
966.05088	9.5855574e-21	0.0006350925	6.42598e-6	0.000049919818	0.048224818	0.77356017	4.5956005	3.3734863e9	3.4778822e-6	0.0033627585
963.82902	9.6149593e-21	0.00063630309	6.4556218e-6	0.000050055106	0.048244297	0.77328221	4.6132759	3.3788337e9	3.4937887e-6	0.0033703758
961.61228	9.6444518e-21	0.0006375161	6.4854003e-6	0.000050190753	0.048263775	0.77300416	4.6310189	3.3841879e9	3.5097681e-6	0.0033780105
959.40063	9.6740355e-21	0.00063873153	6.5153161e-6	0.000050326759	0.048283255	0.77272604	4.6488298	3.389549e9	3.5258209e-6	0.0033856627
957.19407	9.7037105e-21	0.00063994939	6.5453699e-6	0.000050463127	0.048302735	0.77244784	4.6667087	3.3949171e9	3.5419473e-6	0.0033933326
954.99259	9.7334773e-21	0.00064116967	6.5755623e-6	0.000050599858	0.048322216	0.77216956	4.6846558	3.4002922e9	3.5581478e-6	0.0034010201
952.79616	9.7633363e-21	0.00064239237	6.605894e-6	0.000050736952	0.0483417	0.77189121	4.7026715	3.4056742e9	3.5744225e-6	0.0034087252
950.60479	9.7932878e-21	0.00064361749	6.6363655e-6	0.000050874413	0.048361185	0.77161279	4.7207558	3.4110632e9	3.590772e-6	0.0034164481
948.41846	9.8233321e-21	0.00064484503	6.6669776e-6	0.00005101224	0.048380674	0.7713343	4.7389091	3.4164592e9	3.6071965e-6	0.0034241887
946.23716	9.8534697e-21	0.00064607498	6.6977308e-6	0.000051150436	0.048400165	0.77105574	4.7571315	3.4218623e9	3.6236964e-6	0.003431947
944.06088	9.8837008e-21	0.00064730736	6.7286259e-6	0.000051289001	0.04841966	0.77077712	4.7754233	3.4272725e9	3.640272e-6	0.0034397233
941.8896	9.9140258e-21	0.00064854214	6.7596634e-6	0.000051427938	0.048439159	0.77049843	4.7937847	3.4326897e9	3.6569237e-6	0.0034475173
939.72331	9.9444452e-21	0.00064977935	6.7908441e-6	0.000051567247	0.048458662	0.77021968	4.812216	3.438114e9	3.6736517e-6	0.0034553293
937.56201	9.9749592e-21	0.00065101896	6.8221686e-6	0.000051706931	0.048478171	0.76994086	4.8307174	3.4435455e9	3.6904566e-6	0.0034631593
